iteration,effect_pp,in_95_ci,favours_treatment
1,-1.1404015219550812,1,0
2,-0.8531824420713263,1,0
3,-0.5863050304513479,1,0
4,-0.5472767883555024,1,0
5,-0.639647080398964,1,0
6,-0.6489179993511229,1,0
7,-0.8605281223678068,1,0
8,-0.6759322742086321,1,0
9,-0.9391502717450234,1,0
10,-0.6322491712355854,1,0
11,-0.7683518443355519,1,0
12,-0.9551594522224621,1,0
13,-0.5675542770794489,1,0
14,-0.5899122156680425,1,0
15,-1.132320063807743,1,0
16,-0.8367344800963017,1,0
17,-0.8350928117292461,1,0
18,-0.6688970163300778,1,0
19,-1.0710114887277855,1,0
20,-1.0748783428872337,1,0
21,-1.1731437100878872,1,0
22,-1.0143726759814036,1,0
23,-0.8544107056783851,1,0
24,-0.2074409610937744,0,0
25,-1.0799734606537381,1,0
26,-0.5268321377496527,1,0
27,-0.9442334388385959,1,0
28,-1.0900860905822651,1,0
29,-1.1793894858569687,1,0
30,-0.6232364458344603,1,0
31,-0.6347579273165954,1,0
32,-1.0863610215671282,1,0
33,-0.9305763278414841,1,0
34,-0.6838973239492507,1,0
35,-1.1707125596113588,1,0
36,-0.6986006352151491,1,0
37,-1.3417826066365186,1,0
38,-0.3003007881099945,0,0
39,-0.8129781652353146,1,0
40,-0.9859495495702836,1,0
41,-1.3223722056265235,1,0
42,-1.1488590574519009,1,0
43,-1.0199453780477348,1,0
44,-0.9395517258320885,1,0
45,-1.2562281817228156,1,0
46,-0.9694747354659528,1,0
47,-0.9632289596968713,1,0
48,-1.1039357401988608,1,0
49,-0.4818446409567856,1,0
50,-0.7968018228759782,1,0
51,-1.4105652210926134,0,0
52,-0.7927155779677397,1,0
53,-0.7661669367371199,1,0
54,-0.8035774118117789,1,0
55,-0.9319359013116368,1,0
56,-0.7250060159097377,1,0
57,-1.123371517946445,1,0
58,-0.6582291964972425,1,0
59,-0.957163771874342,1,0
60,-0.44792494269209615,1,0
61,-1.3001306754446578,1,0
62,-0.9611201823112037,1,0
63,-0.6958724883853462,1,0
64,-1.1525184715354881,1,0
65,-1.083929871090597,1,0
66,-0.5394161963486716,1,0
67,-1.0209408248413459,1,0
68,-1.180411784779889,1,0
69,-0.6148311392045386,1,0
70,-0.5651604540134414,1,0
71,-0.6277495215673501,1,0
72,-0.6246721495173774,1,0
73,-0.9197279200620967,1,0
74,-1.112224638422063,1,0
75,-1.0019587300477224,1,0
76,-1.15749718089527,1,0
77,-0.7756975246320325,1,0
78,-0.40953244688848034,1,0
79,-1.1315425323711992,1,0
80,-0.9594785139441481,1,0
81,-0.5948133194233401,1,0
82,-0.9984008229144858,1,0
83,-1.36805962825145,0,0
84,-0.5768251960316079,1,0
85,-0.9064991152813562,1,0
86,-0.932400059546809,1,0
87,-1.2576370332764264,1,0
88,-0.630128443176986,1,0
89,-1.2345940703121534,1,0
90,-0.5722867435611345,1,0
91,-0.5563029398212793,1,0
92,-0.7700203648319137,1,0
93,-1.082792639152677,1,0
94,-1.2406846348722715,1,0
95,-0.8126423660798021,1,0
96,-1.10812496744917,1,0
97,-0.34364661653580875,1,0
98,-0.6352369870081448,1,0
99,-0.8146989145985745,1,0
100,-1.009005938599214,1,0
101,-0.6486075769331939,1,0
102,-0.7472997749585014,1,0
103,-0.9901387768205927,1,0
104,-0.867497725314817,1,0
105,-0.8299066622936058,1,0
106,-0.9635125299854941,1,0
107,-1.2268872141225655,1,0
108,-0.6474569189306195,1,0
109,-1.0244465031076926,1,0
110,-0.8929718387556185,1,0
111,-1.0896846364952029,1,0
112,-0.47929708207353483,1,0
113,-0.9902163824250743,1,0
114,-0.7789942874308009,1,0
115,-0.7844908592843675,1,0
116,-0.47292294722479367,1,0
117,-0.3715533558448614,1,0
118,-0.8391641551811102,1,0
119,-1.3667671851045644,0,0
120,-0.7734469621020562,1,0
121,-0.784787855637642,1,0
122,-0.7405764148895932,1,0
123,-0.8095381419005204,1,0
124,-1.2453529218141246,1,0
125,-0.6859404464033714,1,0
126,-1.0184454948249906,1,0
127,-0.6329356710029904,1,0
128,-0.7950691228397866,1,0
129,-1.0432480099547643,1,0
130,-0.8730958041187314,1,0
131,-1.00909697026835,1,0
132,-1.1459368966108912,1,0
133,-0.8271904661367346,1,0
134,-0.6196158345531139,1,0
135,-1.3043721315618595,1,0
136,-0.6877895548462853,1,0
137,-1.2150926376330222,1,0
138,-1.16303255555108,1,0
139,-0.9401845213408783,1,0
140,-0.9960995069093315,1,0
141,-0.672866852831594,1,0
142,-1.19882526360455,1,0
143,-0.4800343353161124,1,0
144,-0.7901933958220725,1,0
145,-1.0278342975755916,1,0
146,-1.0305490183407402,1,0
147,-0.5856319567485946,1,0
148,-0.3123520827588516,0,0
149,-1.2784443351670975,1,0
150,-0.7375109935125551,1,0
151,-0.9720730478243789,1,0
152,-0.86599784209207,1,0
153,-0.8071980230931253,1,0
154,-0.792960345454119,1,0
155,-0.3006514887218842,0,0
156,-1.2489347302932274,1,0
157,-1.032541387319688,1,0
158,-0.79430649285962,1,0
159,-0.7401361580002902,1,0
160,-0.5635575884486294,1,0
161,-0.9354908576614362,1,0
162,-0.2922581327648943,0,0
163,-0.8988564386315984,1,0
164,-0.5821665566762141,1,0
165,-0.5575834322952333,1,0
166,-1.0482132932498915,1,0
167,-0.813806450147031,1,0
168,-0.8475440850734484,1,0
169,-0.7587570769008095,1,0
170,-1.1464279069753724,1,0
171,-1.023812232207183,1,0
172,-0.8342122979506372,1,0
173,-0.47914187086456894,1,0
174,-0.4130097976337954,1,0
175,-0.8152033510277046,1,0
176,-0.7664131796152218,1,0
177,-1.1692902819930961,1,0
178,-0.8439622765943428,1,0
179,-0.375987350581547,1,0
180,-0.9958413133583005,1,0
181,-0.834251100752878,1,0
182,-1.038490166735495,1,0
183,-1.0701846792077918,1,0
184,-0.57866235380159,1,0
185,-0.6999199304913467,1,0
186,-0.599107004407437,1,0
187,-0.5836022603591312,1,0
188,-1.1532691508427229,1,0
189,-0.5534464339118195,1,0
190,-0.46198203238455304,1,0
191,-1.1123664235663744,1,0
192,-0.6295598272080233,1,0
193,-0.5411996498600358,1,0
194,-1.0086432873143898,1,0
195,-0.945770649471861,1,0
196,-0.933874566031967,1,0
197,-0.6301672459792268,1,0
198,-0.6034394921937747,1,0
199,-0.8928688564135506,1,0
200,-0.9079989985041004,1,0
201,-1.470282881280685,0,0
202,-0.6047841642075558,1,0
203,-0.6581127880905202,1,0
204,-1.271073278133028,1,0
205,-0.4439028773236875,1,0
206,-0.9042873555536179,1,0
207,-0.4890470607172376,1,0
208,-0.19459870894372178,0,0
209,-0.9104943285204586,1,0
210,-0.6931174894262371,1,0
211,-1.429832361566577,0,0
212,-0.3638838270657946,1,0
213,-0.5666095837610102,1,0
214,-0.503401146762969,1,0
215,-0.9116703632606193,1,0
216,-0.5844678726813657,1,0
217,-1.1363794565866725,1,0
218,-0.4216747732064735,1,0
219,-1.3365845065279465,1,0
220,-0.908140783648409,1,0
221,-0.4998193382838634,1,0
222,-0.7139755447920809,1,0
223,-0.7634134131697307,1,0
224,-0.6948367633977742,1,0
225,-0.7979390548139009,1,0
226,-1.2255156899794784,1,0
227,-0.7828865183278327,1,0
228,-0.7718052937349978,1,0
229,-0.8697856152553141,1,0
230,-0.8792774003479858,1,0
231,-1.0165322068422467,1,0
232,-0.34937600520282275,1,0
233,-0.9741430224078057,1,0
234,-0.5098543626079088,1,0
235,-1.081835995161304,1,0
236,0.23961173001334768,0,1
237,-1.028234276270934,1,0
238,-0.8925062051287291,1,0
239,-0.8557553776921661,1,0
240,-0.9658929269868471,1,0
241,-0.7575288132937508,1,0
242,-0.9662302015340823,1,0
243,-0.7473908066276375,1,0
244,-0.941011330860872,1,0
245,-1.0660850082348987,1,0
246,-0.6971515054675803,1,0
247,-0.7441701740416334,1,0
248,-0.8469635184315538,1,0
249,-0.9404307642189774,1,0
250,-0.6807035434925557,1,0
251,-0.617830905650027,1,0
252,-0.4311531322344908,1,0
253,-0.7443641880528401,1,0
254,-0.8304618521979112,1,0
255,-1.197946225217661,1,0
256,-0.974880275650386,1,0
257,-0.8766014823850754,1,0
258,-1.04619554753336,1,0
259,-1.001285656344972,1,0
260,-0.6304910944618075,1,0
261,-0.5295229571689347,1,0
262,-0.9584188876107097,1,0
263,-0.7292608980915938,1,0
264,-0.6900013145740236,1,0
265,-0.9408053661767335,1,0
266,-1.2804874576212155,1,0
267,-0.845811385037254,1,0
268,-0.7184363916580755,1,0
269,-0.9830512900751431,1,0
270,-0.7374333879080736,1,0
271,-0.8824204273295055,1,0
272,-0.7692174566577864,1,0
273,-0.9790441261631089,1,0
274,-1.00772544612526,1,0
275,-0.9262318893822119,1,0
276,-0.6693238471547291,1,0
277,-1.1590104901826686,1,0
278,-0.6698163329109302,1,0
279,-0.8847739722015524,1,0
280,-0.7603479917926897,1,0
281,-0.6682895975588771,1,0
282,-1.1031328320247336,1,0
283,-1.1313753704893044,1,0
284,-0.6928070670083081,1,0
285,-0.7807926423985367,1,0
286,-0.7216316475064932,1,0
287,-1.4695187759087984,0,0
288,-0.837380701669746,1,0
289,-0.9552116810893574,1,0
290,-0.2517822363131972,0,0
291,-0.9420082530462032,1,0
292,-1.1954001417261273,1,0
293,-0.5924463484866388,1,0
294,-1.085429754313344,1,0
295,-1.1610789893743756,1,0
296,-0.8094739623606906,1,0
297,-1.1100128786943246,1,0
298,-0.8313931194516982,1,0
299,-0.5438501910853571,1,0
300,-0.6539101347755566,1,0
301,-0.9932683777374607,1,0
302,-0.6138998719507544,1,0
303,-1.1940674203852808,1,0
304,-0.599351771893819,1,0
305,-0.559626554749354,1,0
306,-0.9475033495080526,1,0
307,-0.7060881006559439,1,0
308,-1.0109968321864367,1,0
309,-0.723519558751648,1,0
310,-1.0020617123897928,1,0
311,-0.7733439797599856,1,0
312,-1.0084895514971466,1,0
313,-1.6153982797817767,0,0
314,-0.5505750265459852,1,0
315,-0.7327009214263908,1,0
316,-0.9859107467680428,1,0
317,-0.7758527358409983,1,0
318,-0.8764582218490469,1,0
319,-0.9660735149333965,1,0
320,-0.8391775812457647,1,0
321,-0.9747638672436609,1,0
322,-1.0530755942029513,1,0
323,-1.1138275039868777,1,0
324,-0.919468251119343,1,0
325,-1.1147333945030757,1,0
326,-1.2473572414660017,1,0
327,-1.0712965344081282,1,0
328,-0.7804941706535423,1,0
329,-0.9898791078778391,1,0
330,-0.679967765641698,1,0
331,-0.4793493109404301,1,0
332,-0.6871433332728438,1,0
333,-1.1429237041007485,1,0
334,-0.7785032770663197,1,0
335,-0.9549788642759099,1,0
336,-1.3344891552069305,1,0
337,-0.4852712382269253,1,0
338,-1.0943006945701605,1,0
339,-0.6316417524643847,1,0
340,-0.6785559633046473,1,0
341,-0.9281720294942619,1,0
342,-0.7181408706965237,1,0
343,-0.9726431391850615,1,0
344,-0.6819064303620281,1,0
345,-0.9412709998036256,1,0
346,-0.6449735395871931,1,0
347,-1.2773190539021095,1,0
348,-1.0543038578100072,1,0
349,-1.0403646519159953,1,0
350,-0.6938547426688174,1,0
351,-0.5637008489846551,1,0
352,-0.6097748242402723,1,0
353,-0.8949627323428438,1,0
354,-0.8501304467589399,1,0
355,-0.7827059303812806,1,0
356,-0.1358899216139131,0,0
357,-0.7121786652160622,1,0
358,-0.7435761813350844,1,0
359,-0.7553439056953215,1,0
360,-0.9261930865799711,1,0
361,-0.585515548341875,1,0
362,-0.9667973421113224,1,0
363,-1.1127932543910228,1,0
364,-0.5331301423856294,1,0
365,-0.6883850229445543,1,0
366,-1.0279760827199032,1,0
367,-1.0369246285812013,1,0
368,-1.194248008331833,1,0
369,-0.5324704947475306,1,0
370,-0.7760079470499615,1,0
371,-1.185481525808807,1,0
372,-0.6718848321026372,1,0
373,-1.2098825868515157,1,0
374,-0.4442267258062682,1,0
375,-1.238175878791259,1,0
376,-1.1640921818845213,1,0
377,-0.9889881188180155,1,0
378,-0.7884741218505381,1,0
379,-0.6160071739446993,1,0
380,-0.5576102844245423,1,0
381,-0.64841356292199,1,0
382,-0.9645348289084116,1,0
383,-0.6776903509824128,1,0
384,-0.875670215131294,1,0
385,-0.3597856314846243,1,0
386,-0.4596284875125034,1,0
387,-0.3780304730356676,1,0
388,-0.7707964208767348,1,0
389,-0.7045359885663044,1,0
390,-0.7487608553790048,1,0
391,-0.7595331329456306,1,0
392,-1.1667039203076017,1,0
393,-0.49496898800373834,1,0
394,-0.7621329206957794,1,0
395,-0.8648591347624274,1,0
396,-1.1513812395975682,1,0
397,-0.7017033840027109,1,0
398,-0.48192224656126714,1,0
399,-1.0304072331964342,1,0
400,-0.8578761057507683,1,0
401,-0.5590579387803912,1,0
402,-1.0491326098307412,1,0
403,-1.0605511089708086,1,0
404,-0.8014059302780041,1,0
405,-0.8646143672760481,1,0
406,-0.7827969620504166,1,0
407,-0.38630742058593237,1,0
408,-0.7412494885923437,1,0
409,-0.9484748949557975,1,0
410,-1.26543492113515,1,0
411,-0.9319344259199169,1,0
412,-0.8556523953500955,1,0
413,-0.8217595492147151,1,0
414,-0.5735150071681905,1,0
415,-0.8515407737042707,1,0
416,-1.150229106203271,1,0
417,-1.0658656174861059,1,0
418,-0.5063755364708739,1,0
419,-0.535147888102161,1,0
420,-0.6371502749908858,1,0
